indexes,tickers,stocks,sector,nota
Ibex 35,ACS.MC,ACS,,
Ibex 35,AENA.MC,AENA,,
Ibex 35,AMS.MC,AMADEUS,,
Ibex 35,ANA.MC,ACCIONA,,
Ibex 35,BBVA.MC,BANCO DE BILBAO VIZCAYA,,
Ibex 35,BKT.MC,BANKINTER,,
Ibex 35,CABK.MC,CAIXABANK,,
Ibex 35,CLNX.MC,CELLNEX TELECOM,,
Ibex 35,COL.MC,INMOBILIARIA COLONIAL,,
Ibex 35,ELE.MC,ENDESA,,
Ibex 35,ENG.MC,ENAGAS,,
Ibex 35,FDR.MC,FLUIDRA,,
Ibex 35,FER.MC,FERROVIAL,,
Ibex 35,IAG.MC,IAG GROUP,,
Ibex 35,IBE.MC,IBERDROLA,,
Ibex 35,IDR,INDRA SISTEMAS,,
Ibex 35,ITX.MC,INDITEX,,
Ibex 35,MAP.MC,MAPFRE,,
Ibex 35,MEL.MC,MELIA HOTELS,,
Ibex 35,MTS.MC,ARCELORMITTAL,,
Ibex 35,NTGY.MC,NATURGY ENERGY,,
Ibex 35,RED.MC,RED ELECTRICA,,
Ibex 35,REP.MC,REPSOL,,
Ibex 35,ROVI.MC,LABORATORIOS FARMACEUTICOS ROV,,
Ibex 35,SAB.MC,BANCO DE SABADELL,,
Ibex 35,SAN.MC,BANCO SANTANDER,,
Ibex 35,SCYR.MC,SACYR VALLEHERMOSO,,
Ibex 35,SGRE.MC,SIEMENS GAMESA,,
Ibex 35,SLR.MC,SOLARIA ENERGIA Y MEDIO AMBIEN,,
Ibex 35,TEF.MC,TELEFONICA,,
Merc Cont.,GRF.MC,Grifols,,
Merc Cont.,A3M.MC,ATRESMEDIA,,
Merc Cont.,ACX.MC,ACERINOX SA,,
Merc Cont.,ADX.MC,AUDAX RENOVABLES,,
Merc Cont.,AEDAS.MC,AEDAS HOMES,,
Merc Cont.,AI.MC,AIRTIFICIAL INTEL STRUCT,,
Merc Cont.,AIR.MC,AIRBUS,,
Merc Cont.,ALB.MC,CORPORACION FINANCIERA ALBA,,
Merc Cont.,ALM.MC,ALMIRALL,,
Merc Cont.,ANE.MC,CRP ACC ENER RN BR,,
Merc Cont.,APAM.MC,APERAM,,
Merc Cont.,APPS.MC,APPLUS SERVICES,,
Merc Cont.,CAF.MC,CONSTRUCCION Y AUXILIAR DE FER,,
